City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Kodiak,US,57.79,-152.4072,51.31,82,100,3.44,overcast clouds
186,Santa Cruz,BO,-17.8,-63.1667,65.66,94,75,2.3,broken clouds
187,Capuy,PH,12.9833,123.9333,85.93,71,100,2.46,overcast clouds
188,Pevek,RU,69.7008,170.3133,43.2,64,16,7.45,few clouds
189,Juan Lacaze,UY,-34.4342,-57.4381,46.11,87,0,7.36,clear sky
190,Dudinka,RU,69.4058,86.1778,34.63,40,63,9.15,broken clouds
191,Kuchinarai,TH,16.541,104.05,89.94,53,93,8.3,overcast clouds
192,Soddy-Daisy,US,35.2359,-85.1908,71.42,90,100,1.5,overcast clouds
193,Sitka,US,57.0531,-135.33,60.69,55,75,3.44,broken clouds
194,San Rafael,AR,-34.6177,-68.3301,48.67,42,3,6.62,clear sky
195,Padang,ID,-0.9492,100.3543,82.56,83,83,4.25,light rain
196,Smithers,CA,54.7804,-127.1743,62.92,45,100,14.97,overcast clouds
197,Kahului,US,20.8947,-156.47,77.02,70,40,5.75,scattered clouds
198,Flinders,AU,-34.5833,150.8552,51.26,63,15,12.1,few clouds
199,Payo,ID,-3.7508,103.6372,84.79,77,77,0.25,broken clouds
200,Ulcinj,ME,41.9294,19.2244,78.98,73,55,5.12,broken clouds
201,Kankon,IN,15.0167,74.0167,85.8,70,29,10.74,scattered clouds
202,Tabas,IR,33.5959,56.9244,102.42,13,0,6.91,clear sky
203,Svetlogorsk,BY,52.6333,29.7333,70.29,63,100,5.46,overcast clouds
204,Lasem,ID,-6.6922,111.4527,85.86,69,89,11.12,overcast clouds
205,Ifanadiana,MG,-21.3,47.6333,70.81,69,61,3.27,broken clouds
206,Impfondo,CG,1.6381,18.0667,83.19,60,98,3.89,overcast clouds
207,Staryy Krym,UA,45.0333,35.1,74.46,45,91,14.92,overcast clouds
208,Ixtapa,MX,20.7,-105.2,78.22,78,75,4.61,broken clouds
209,Komsomolskiy,UZ,40.4272,71.7189,90.32,20,0,4.61,clear sky
210,Talnakh,RU,69.4865,88.3972,34.21,99,100,7.52,snow
211,Bosaso,SO,11.2842,49.1816,98.58,41,0,11.5,clear sky
212,Tura,IN,25.5198,90.2201,84.36,76,97,7.63,overcast clouds
213,Katsuura,JP,35.1333,140.3,62.56,93,98,18.92,overcast clouds
214,Wangaratta,AU,-36.3667,146.3333,49.3,81,97,4.68,overcast clouds
215,Vostok,RU,46.4856,135.8833,63.41,68,33,0.69,scattered clouds
216,Loreto,MX,22.2667,-101.9667,65.35,41,8,9.53,clear sky
217,Belmonte,BR,-15.8631,-38.8828,66.85,94,22,5.3,few clouds
218,Erzin,TR,36.9559,36.2,79.18,67,58,6.67,broken clouds
219,San Patricio,US,28.017,-97.5169,82.29,89,9,14.5,clear sky
220,Itarema,BR,-2.9248,-39.9167,72.77,92,99,7.81,overcast clouds
221,Weligama,LK,5.9667,80.4167,82.78,77,100,12.59,overcast clouds
222,New Milford,US,40.9327,-74.0179,69.85,90,100,6.91,light rain
223,Biak,ID,-0.9131,122.8766,81.68,75,75,3.33,broken clouds
224,Kiama,AU,-34.6833,150.8667,51.46,61,26,14.0,scattered clouds
225,Te Anau,NZ,-45.4167,167.7167,44.56,95,100,1.21,overcast clouds
226,Ilulissat,GL,69.2167,-51.1,35.62,75,61,4.61,broken clouds
227,Sweetwater,US,25.7634,-80.3731,75.22,94,75,3.44,broken clouds
228,Hami,CN,42.8,93.45,88.93,9,0,11.12,clear sky
229,Mana,GF,5.6592,-53.7767,76.33,91,100,9.33,overcast clouds
230,Olhao,PT,37.0286,-7.8411,71.29,68,20,13.8,few clouds
231,Charters Towers,AU,-20.1,146.2667,64.78,47,11,10.31,few clouds
232,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.88,88,6,6.44,clear sky
233,Prainha,BR,-1.8,-53.48,71.1,98,86,2.53,light rain
234,Mirnyy,RU,62.5353,113.9611,68.23,42,76,7.0,broken clouds
235,Umm Lajj,SA,25.0213,37.2685,89.94,44,0,15.01,clear sky
236,Banjar,ID,-8.19,114.9675,83.37,83,100,4.18,overcast clouds
237,Champerico,GT,14.3,-91.9167,77.41,83,100,3.13,overcast clouds
238,Juegang,CN,32.3174,121.1855,77.92,61,7,12.95,clear sky
239,Mugur-Aksy,RU,50.35,90.5,56.52,26,100,12.17,overcast clouds
240,Podolsk,RU,55.4242,37.5547,68.49,49,0,6.71,clear sky
241,Saint-Francois,FR,46.4154,3.9054,60.24,77,100,5.75,moderate rain
242,Vagay,RU,57.9375,69.0217,58.05,82,100,14.47,overcast clouds
243,Hat Yai,TH,7.0084,100.4767,87.98,70,75,6.91,broken clouds
244,Ulaangom,MN,49.9811,92.0667,69.42,25,76,11.05,broken clouds
245,Bauchi,NG,10.5,10.0,87.35,40,54,6.15,broken clouds
246,Andilamena,MG,-17.0167,48.5833,64.13,84,100,9.51,light rain
247,Hobyo,SO,5.3505,48.5268,87.71,53,100,20.27,overcast clouds
248,Gat,IL,31.61,34.7642,86.4,20,0,9.28,clear sky
249,Kargasok,RU,59.0556,80.8572,60.69,38,0,2.98,clear sky
250,Shiraz,IR,29.6036,52.5388,96.24,9,0,0.0,clear sky
251,Nanga Eboko,CM,4.6833,12.3667,72.77,87,100,4.32,overcast clouds
252,Khairagarh,IN,26.95,77.8167,112.68,9,5,14.74,clear sky
253,Mumford,GH,5.2618,-0.759,78.76,79,100,6.31,light rain
254,San Matias,BO,-16.3667,-58.4,72.68,70,100,3.76,overcast clouds
255,Yairipok,IN,24.6667,94.0667,81.12,76,99,1.86,overcast clouds
256,Purpe,RU,64.4803,76.6897,70.2,31,8,19.17,clear sky
257,Ende,ID,-8.8432,121.6623,82.9,78,93,3.94,overcast clouds
258,Marrakesh,MA,31.6315,-8.0083,68.07,73,0,3.44,clear sky
259,Trairi,BR,-3.2778,-39.2689,71.2,96,100,6.11,overcast clouds
260,Stornoway,GB,58.2093,-6.3865,56.03,81,20,11.5,few clouds
261,Teguise,ES,29.0605,-13.564,64.62,83,40,19.57,scattered clouds
262,Kaitangata,NZ,-46.2817,169.8464,47.48,93,100,5.88,overcast clouds
263,Belaya Gora,RU,68.5333,146.4167,51.3,36,29,13.35,scattered clouds
264,Byron Bay,AU,-28.65,153.6167,53.94,56,0,2.33,clear sky
265,Zhuhai,CN,22.2769,113.5678,78.85,100,75,11.5,light intensity shower rain
266,Maragogi,BR,-9.0122,-35.2225,71.62,92,4,5.06,clear sky
267,Nisia Floresta,BR,-6.0911,-35.2086,73.78,92,97,5.57,overcast clouds
268,Sevsk,RU,52.1491,34.4926,71.62,62,10,1.57,clear sky
269,Cayenne,GF,4.9333,-52.3333,80.1,1,40,5.99,scattered clouds
270,Folldal,NO,62.1325,9.9968,56.73,59,100,4.0,light rain
271,Lokosovo,RU,61.1333,74.8167,65.14,31,8,7.61,clear sky
272,Bethel,US,41.3712,-73.414,66.56,96,100,1.99,overcast clouds
273,Maltahohe,NA,-24.8333,16.9833,58.21,36,0,13.98,clear sky
274,Itoman,JP,26.1247,127.6694,77.02,83,75,6.91,moderate rain
275,Marzuq,YE,14.4,46.4667,91.8,18,29,7.02,scattered clouds
276,Teguldet,RU,57.3064,88.1667,51.08,58,99,8.88,light rain
277,Severnyy-Kospashskiy,RU,59.0925,57.8008,48.18,90,100,14.16,overcast clouds
278,Requena,ES,39.4883,-1.1004,77.29,31,100,12.57,overcast clouds
279,Dingle,PH,10.9995,122.6711,86.13,70,86,3.53,overcast clouds
280,Kavieng,PG,-2.5744,150.7967,82.94,66,3,10.11,clear sky
281,Mar Del Plata,AR,-38.0023,-57.5575,41.02,100,100,6.91,fog
282,Nushki,PK,29.5542,66.0215,98.17,4,0,8.81,clear sky
283,Cidreira,BR,-30.1811,-50.2056,61.47,85,1,7.78,clear sky
284,Klaksvik,FO,62.2266,-6.589,50.92,75,93,20.29,overcast clouds
